transaction_id,date,description,amount,type,account,reference_number
TXN-2025-0077,2025-03-28,"DOORDASH RESTAURANT SETTLE",5250.00,Credit,"Operating Checking *4920",REF-125786
TXN-2025-0078,2025-03-31,"TOAST POS BATCH SETTLEMENT",8200.00,Credit,"Operating Checking *4920",REF-794630
TXN-2025-0079,2025-03-03,"BALDOR SPECIALTY FOODS PRODUCE NY",-3600.00,Debit,"Operating Checking *4920",REF-429776
TXN-2025-0080,2025-03-06,"SYSCO METRO NY MEAT & POULTRY",-5900.00,Debit,"Operating Checking *4920",REF-331473
TXN-2025-0081,2025-03-10,"SEA TO TABLE FRESH FISH BROOKLYN",-3400.00,Debit,"Operating Checking *4920",REF-909030
TXN-2025-0082,2025-03-13,"MANHATTAN BEER DISTRIBUTORS KEGS & CRAFT",-5600.00,Debit,"Operating Checking *4920",REF-934505
TXN-2025-0083,2025-03-18,"BALDOR SPECIALTY FOODS PRODUCE NY",-3900.00,Debit,"Operating Checking *4920",REF-288764
TXN-2025-0084,2025-03-20,"SYSCO METRO NY MEAT & POULTRY",-5200.00,Debit,"Operating Checking *4920",REF-196886
TXN-2025-0085,2025-03-24,"DAIRYLAND CHEFS WAREHOUSE DAIRY & CHEESE",-2100.00,Debit,"Operating Checking *4920",REF-724802
TXN-2025-0086,2025-03-27,"SEA TO TABLE FRESH FISH BROOKLYN",-2500.00,Debit,"Operating Checking *4920",REF-856446
TXN-2025-0087,2025-03-30,"MANHATTAN BEER DISTRIBUTORS BEV",-1200.00,Debit,"Operating Checking *4920",REF-429008
TXN-2025-0088,2025-03-14,"GUSTO PAYROLL PE0314 NET PAY",-11400.00,Debit,"Operating Checking *4920",REF-361071
TXN-2025-0089,2025-03-14,"GUSTO TAX SERVICES TAXES PE0314",-2500.00,Debit,"Operating Checking *4920",REF-611537
TXN-2025-0090,2025-03-28,"GUSTO PAYROLL PE0328 NET PAY",-11350.00,Debit,"Operating Checking *4920",REF-177847
TXN-2025-0091,2025-03-28,"GUSTO TAX SERVICES TAXES PE0328",-2550.00,Debit,"Operating Checking *4920",REF-846040
TXN-2025-0092,2025-03-01,"BROADWAY COMMERCIAL REALTY MAR RENT",-8500.00,Debit,"Operating Checking *4920",REF-955110
TXN-2025-0093,2025-03-05,"CON EDISON OF NY ELEC & GAS",-1780.00,Debit,"Operating Checking *4920",REF-470047
TXN-2025-0094,2025-03-08,"TOAST POS HARDWARE/SOFTWARE SUBSCRIPTION",-499.00,Debit,"Operating Checking *4920",REF-533441
TXN-2025-0095,2025-03-12,"RESTAURANT DEPOT PATIO FURNITURE & MENUS",-1520.00,Debit,"Credit Card *8812",REF-274470
TXN-2025-0096,2025-03-16,"EMPIRE LINEN COMMERCIAL CLEANING",-810.00,Debit,"Operating Checking *4920",REF-189455
TXN-2025-0097,2025-03-19,"RESY RESERVATION SOFTWARE",-399.00,Debit,"Credit Card *8812",REF-972642
TXN-2025-0098,2025-03-22,"WASTE MANAGEMENT COMMERCIAL DUMPSTER",-650.00,Debit,"Operating Checking *4920",REF-845599
TXN-2025-0099,2025-03-26,"STATE FARM BUSINESS CASUALTY INS",-850.00,Debit,"Operating Checking *4920",REF-937398
TXN-2025-0100,2025-03-29,"NYC DOHMH RESTAURANT PERMIT RENEWAL FEE",-680.00,Debit,"Operating Checking *4920",REF-739143
TXN-2025-0101,2025-03-02,"CHASE BUS LOAN PMT 9931 PRINCIPAL",-1200.00,Debit,"Operating Checking *4920",REF-767769
TXN-2025-0102,2025-03-15,"MEMBER EQUITY CONTRIBUTION - PARTNER A",25000.00,Credit,"Operating Checking *4920",REF-794376
